File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
lto-llvm-87d4b7.o,91.777084%,11429,67069,66824,90,155,11274
startup_at32f415.o,8.222919%,1024,404,36,368,0,1024
