File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
lto-llvm-c21010.o,91.739937%,11373,39131,38870,106,155,11218
startup_at32f415.o,8.260063%,1024,404,36,368,0,1024
