File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
lto-llvm-bec5ac.o,91.781044%,11435,67974,67728,90,156,11279
startup_at32f415.o,8.218958%,1024,404,36,368,0,1024
